,ID,Фамилия,Имя,Отчество,Организация,Аффилиации,Город
0,71957,Горшенин,Андрей,Константинович, ФИЦ ИУ РАН,,
1,71956,Агеева,Анастасия,Сергеевна,Российский университет дружбы народов,,
2,71949,Горяинов,Владимир,Борисович,МГТУ им. Н.Э. Баумана,,Москва
3,71947,Щербаков,Виталий,Алексеевич,Московский институт электронной техники,,Москва
4,71946,Савченко,Юрий,Васильевич,Московский институт электронной техники,,Москва
5,71945,Душкин,Александр,Викторович,Московский институт электронной техники,,Москва
6,71944,"Порхун ,",Анатолий ,Сергеевич,Московский институт электронной техники,,Москва
7,71931,Слинко,Аркадий,-,Университет Окланда,,Окланд
8,71924,Гринёва,Виктория,Александровна,МФТИ,,Москва-Долгопрудный-Жуковский
9,71919,Касаткин,Андрей,Алексеевич,ФГБУ &quot;НИЦ &quot;Институт имени Н.Е. Жуковского&quot;,,Москва-Жуковский
10,71915,Шестерикова,Ирина,Сергеевна,Московский энергетический институт,,Москва
11,71909,Буздин,Владислав,Эдуардович,ИПУ РАН,,Москва
12,71906,Вытовтов,Георгий,Константинович,Астраханский государственный технический университет,,Astrakhan
13,71905,Кулина,Анастасия,Леонидовна,ИПУ РАН,,Москва
14,71903,Шалимова,Елена,Владимировна,Московский энергетический институт,,Москва
15,71902,Иванов,Михаил,Германович,Московский энергетический институт,,Москва
16,71881,Рожков,Григорий,Александрович,Санкт-Петербургский государственный химико-технологический университет,,Санкт-Петербург
17,71875,Сергушин,К.,В.,СибГИУ,,Новокузнецк
18,71873,Каиркенов,Х.,К.,СибГИУ,,Новокузнецк
20,71859,Юпатов,Дмитрий,Алексеевич,МЭИ,,Москва
21,71858,Ягупова,Юлия,Юрьевна,МЭИ,,Москва
22,71855,Омарова,Наида,Омаровна,ДГУ,,Махачкала
23,71844,Власюк,Василий,Викторович,Экспериментальный завод Академии наук РФ,,Черноголовка
29,71791,Большаков,Владислав,Е, Bauman Moscow State  Technical University,,
30,71787,Сунчалина,Анна,Леонидовна,МГТУ им Н.Э.Баумана,,
31,71753,Цыренов,Денис,Викторович,АО &quot;АСЭ&quot;,,
32,71752,Пронин,Виталий,Владимирович,АО &quot;РАСУ&quot;,,
34,71749,Мусихин,Александр,Михайлович,НИЦ «Курчатовский институт,,
35,71748,Жмайлов,Вадим,Валентинович,АО «Атомэнергопроект»,,
36,71734,Акимов,Николай,Николаевия,РФЯЦ-ВНИИЭФ &quot;НИИИС им. Ю.Е. Седакова&quot;,,Нижний Новгород
37,71700,Пивень,Н,П,РНИМУ им. Н.И.Пирогова,,
38,71699,Ходорович,М,А,РУДН,,
39,71687,Чернышев,Сергей,Леонидович,ЦАГИ,,
40,71684,Селвамутху,Дхармараджа,.,Indian Institute of Technology Delhi,,New Delhi
64,49563,Кулагин,Константин,Александрович,ИПУ РАН,"2019;Институт проблем управления им. В. А. Трапезникова РАН, 2019;Институт проблем управления им. В.А. Трапезникова РАН, 2019;Институт проблем управления имени В. А. Трапезникова РАН",Москва
107,9689,Горошко,Игорь,Владимирович,ИПУ РАН,2019;Институт проблем управления им. В.А. Трапезникова РАН,Москва
110,20844,Мячин,Алексей,Леонидович,ИПУ РАН,"2019;Institute of Control Science of Russian Academy of Science, 2019;National Research University Higher School of Economics, 2019;V.A. Trapeznikov Institute of Control Sciences of Russian Academy of Sciences, 2019;Институт проблем управления им В.А. Трапезникова РАН, 2019;Институт проблем управления им. В.А. Трапезникова РАН, 2019;Национальный исследовательский университет &quot;Высшая школа Экономики&quot;, 2019;Национальный исследовательский университет «Высшая школа экономики», 2019;ФГБУН Институт проблем управления им. В.А. Трапезникова РАН",Москва
112,492,Митришкин,Юрий,Владимирович,ИПУ РАН,"2019;Lomonosov Moscow State Univ, Fac Phys, Moscow, Russia, 2019;Lomonosov Moscow State Univ, Moscow, Russia, 2019;Moscow MV Lomonosov State Univ, Fac Phys, Moscow 119991, Russia, 2019;Russian Acad Sci, VA Trapeznikov Inst Control Sci, Moscow 117997, Russia, 2019;Russian Acad Sci, VA Trapeznikov Inst Control Sci, Moscow, Russia, 2019;Институт проблем управления им. В.А. Трапезникова РАН, 2019;Московский государственный университет им. М.В. Ломоносова",Москва
113,477,Маслов,Евгений,Петрович,ИПУ РАН,,Москва
114,452,Лубков,Николай,Васильевич,ИПУ РАН,2019;Институт проблем управления им. В.А. Трапезникова РАН,Москва
115,425,Кусков,Иван,Михайлович,ИПУ РАН,2019;ИПУ РАН,Москва
116,51771,Корнеенко,Виктор,Павлович,ИПУ РАН,"2019;Институт проблем управления им. В.А. Трапезникова РАН, 2019;ФГБУН Институт проблем управления им. В.А. Трапезникова РАН",Москва
117,46933,Коньков,Артем,Евгеньевич,ИПУ РАН,,Москва
118,53068,Киричек,Руслан,Валентинович,ИПУ РАН,2019;Санкт-Петербургский государственный университет телекоммуникаций им. проф. М.А.Бонч-Бруевича,Москва
119,20707,Кадысева,Элина,Андреевна,ИПУ РАН,"2019;МГУ им. М.В. Ломоносов, 2019;Московский Государственный Университет им. М.В. Ломоносова",Москва
120,294,Иванов,Николай,Николаевич,ИПУ РАН,,Москва
121,10886,Кузнецов,Александр,Владимирович,ИПУ РАН,,Москва
122,247,Ермилов,Александр,Сергеевич,ИПУ РАН,"2019;Институт проблем управления им. В.А. Трапезникова, 2019;Институт проблем управления им. В.А. Трапезникова РАН",Москва
